what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315064347596
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315064347853
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1315064368306
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315064370025
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315064371496
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315064371591
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315064372634
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315064372837
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315064388816
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315064390679
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315064393740
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315064442723
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315064444222
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315064454293
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315064462002
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315064473835
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315064480422
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315064487461
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315064501215
activated,view,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.BeansList,1315064546346
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315064571163
activated,view,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.BeansList,1315064586752
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315064596011
activated,view,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.BeansList,1315064731985
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315064752235
